time_step,time,energy,power,dE_dt,residual,work,energy_balance,eL2_u,eH1_u,eL2_v
163,0.163,26.3789,213.413,214.824,1.41098,-4.46287,-0.000275231,4.59671e-05,0.0113122,0.00120422
164,0.164,26.5908,210.407,211.923,1.51611,-4.25096,-0.000262158,4.49347e-05,0.011041,0.00118781
165,0.165,26.7996,207.193,208.813,1.61974,-4.04216,-0.000249276,4.39252e-05,0.0107669,0.00117096
166,0.166,27.0051,203.775,205.497,1.72178,-3.83668,-0.000236599,4.294e-05,0.0104898,0.0011558
167,0.167,27.2071,200.156,201.978,1.82211,-3.63471,-0.000224139,4.19793e-05,0.0102099,0.00114401
168,0.168,27.4053,196.339,198.26,1.92065,-3.43646,-0.000211909,4.10421e-05,0.00992728,0.00113659
169,0.169,27.5997,192.329,194.346,2.01729,-3.24213,-0.000199919,4.01263e-05,0.00964205,0.00113377
170,0.17,27.7899,188.128,190.24,2.11194,-3.0519,-0.000188184,3.9229e-05,0.0093545,0.00113519
171,0.171,27.9759,183.742,185.947,2.20451,-2.86597,-0.000176712,3.83464e-05,0.00906492,0.00114011
172,0.172,28.1573,179.175,181.47,2.2949,-2.68451,-0.000165518,3.74741e-05,0.00877357,0.00114781
173,0.173,28.3342,174.43,176.813,2.38303,-2.50771,-0.00015461,3.66071e-05,0.00848065,0.0011579
174,0.174,28.5061,169.514,171.983,2.4688,-2.33573,-0.000144,3.57406e-05,0.00818626,0.00117049
175,0.175,28.6731,164.43,166.982,2.55214,-2.16876,-0.000133699,3.48698e-05,0.00789034,0.00118624
176,0.176,28.8349,159.184,161.817,2.63296,-2.00695,-0.000123716,3.39908e-05,0.00759274,0.00120607
177,0.177,28.9914,153.781,156.492,2.71118,-1.85047,-0.000114062,3.31007e-05,0.00729318,0.00123081
178,0.178,29.1424,148.226,151.013,2.78673,-1.69947,-0.000104745,3.21983e-05,0.00699139,0.00126082
179,0.179,29.2878,142.525,145.385,2.85953,-1.55409,-9.57762e-05,3.12848e-05,0.00668711,0.00129559
180,0.18,29.4274,136.684,139.613,2.9295,-1.41449,-8.71632e-05,3.03637e-05,0.00638022,0.00133366
181,0.181,29.5611,130.707,133.703,2.99658,-1.28079,-7.89147e-05,2.94412e-05,0.00607078,0.00137269
182,0.182,29.6888,124.601,127.662,3.06071,-1.15314,-7.10389e-05,2.8526e-05,0.00575907,0.00140977
183,0.183,29.8103,118.373,121.494,3.12181,-1.03165,-6.35435e-05,2.76291e-05,0.00544556,0.00144181
184,0.184,29.9255,112.027,115.207,3.17984,-0.916452,-5.6436e-05,2.6763e-05,0.00513092,0.00146593
185,0.185,30.0343,105.571,108.806,3.23472,-0.807652,-4.97234e-05,2.59411e-05,0.00481586,0.00147983
186,0.186,30.1366,99.0109,102.297,3.28642,-0.705361,-4.34122e-05,2.51764e-05,0.0045011,0.0014821
187,0.187,30.2323,92.353,95.6878,3.33487,-0.60968,-3.75088e-05,2.44804e-05,0.00418716,0.0014724
188,0.188,30.3213,85.6039,88.9839,3.38003,-0.520701,-3.20189e-05,2.38626e-05,0.00387433,0.00145153
189,0.189,30.4035,78.7704,82.1922,3.42185,-0.438514,-2.69481e-05,2.33294e-05,0.00356256,0.00142141
190,0.19,30.4788,71.8591,75.3193,3.4603,-0.363199,-2.23012e-05,2.28844e-05,0.00325148,0.00138492
191,0.191,30.5472,64.8768,68.3722,3.49533,-0.294831,-1.80829e-05,2.25277e-05,0.00294043,0.0013456
192,0.192,30.6085,57.8306,61.3575,3.52691,-0.233478,-1.42972e-05,2.22575e-05,0.00262859,0.00130724
193,0.193,30.6628,50.7273,54.2823,3.55501,-0.179199,-1.09481e-05,2.20703e-05,0.00231513,0.00127334
